mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.36670684814453125,0.10797550772897614,0.015100383758544922,0.007139248050029896,10,10,gini,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'gini'}",0.8093306288032455,0.8448275862068966,0.8316430020283976,0.821501014198783,0.8306288032454361,0.8275862068965518,0.01177519291983772,5
1.2316297531127929,0.309458761433803,0.04741759300231933,0.013559685883451116,100,3,gini,"{'n_estimators': 100, 'max_depth': 3, 'criterion': 'gini'}",0.7677484787018256,0.7738336713995944,0.77079107505071,0.7860040567951319,0.7728194726166329,0.7742393509127788,0.006238765314089114,9
0.9097338199615479,0.19819224107609906,0.02501568794250488,0.005326354566156792,50,5,gini,"{'n_estimators': 50, 'max_depth': 5, 'criterion': 'gini'}",0.7961460446247465,0.8164300202839757,0.8235294117647058,0.8164300202839757,0.8093306288032455,0.8123732251521298,0.00927312734333667,6
1.4094802856445312,0.3715070569768122,0.02989969253540039,0.002713191800855174,100,3,entropy,"{'n_estimators': 100, 'max_depth': 3, 'criterion': 'entropy'}",0.7657200811359026,0.7738336713995944,0.77079107505071,0.7870182555780934,0.7738336713995944,0.7742393509127788,0.007044119819142139,9
1.151373529434204,0.24499179995373457,0.037744569778442386,0.008408850574531414,50,10,gini,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'gini'}",0.8042596348884381,0.8427991886409736,0.8326572008113591,0.8296146044624746,0.8468559837728195,0.8312373225152131,0.01490009547440727,3
1.611957025527954,0.2088497521380543,0.053873109817504886,0.025865244508152335,100,5,gini,"{'n_estimators': 100, 'max_depth': 5, 'criterion': 'gini'}",0.8012170385395537,0.8194726166328601,0.8062880324543611,0.8164300202839757,0.8093306288032455,0.8105476673427991,0.006647452173701418,7
2.368618059158325,0.2666471181516679,0.07969012260437011,0.027990570112751172,100,10,gini,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",0.7981744421906694,0.8448275862068966,0.8488843813387424,0.821501014198783,0.8519269776876268,0.8330628803245437,0.02047174751649517,1
1.3389039039611816,0.12557420245001227,0.03430542945861816,0.014379119228834725,50,10,entropy,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'entropy'}",0.7941176470588235,0.845841784989858,0.8356997971602435,0.8306288032454361,0.845841784989858,0.8304259634888439,0.019086348066852325,4
3.086633539199829,0.5071629624564274,0.05484023094177246,0.014905659968170675,100,,entropy,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'entropy'}",0.7971602434077079,0.8397565922920892,0.8417849898580122,0.8336713995943205,0.845841784989858,0.8316430020283976,0.017683160014363798,2
0.6445929527282714,0.15089971237626648,0.02412252426147461,0.007662596110641545,50,3,gini,"{'n_estimators': 50, 'max_depth': 3, 'criterion': 'gini'}",0.7677484787018256,0.7758620689655172,0.7728194726166329,0.7910750507099391,0.7758620689655172,0.7766734279918864,0.007787567472800163,8
