mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.0300310611724854,0.3839700040991104,0.037255048751831055,0.013969430327412605,50,5,entropy,"{'n_estimators': 50, 'max_depth': 5, 'criterion': 'entropy'}",0.7931034482758621,0.8194726166328601,0.8296146044624746,0.8133874239350912,0.8093306288032455,0.8129817444219066,0.012061719064761443,6
3.7879011154174806,1.175778760138672,0.06638240814208984,0.02226740218123707,100,,entropy,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'entropy'}",0.7961460446247465,0.8356997971602435,0.8387423935091278,0.834685598377282,0.8448275862068966,0.8300202839756592,0.01730212422891369,4
0.8729938983917236,0.42486460688606625,0.03133811950683594,0.01038733468316092,50,5,gini,"{'n_estimators': 50, 'max_depth': 5, 'criterion': 'gini'}",0.7981744421906694,0.8093306288032455,0.8144016227180527,0.8062880324543611,0.8204868154158215,0.8097363083164302,0.007524234073424496,7
1.906219244003296,0.570652136307977,0.04870591163635254,0.018177675376797542,100,10,gini,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",0.8002028397565923,0.8509127789046653,0.8549695740365112,0.8286004056795132,0.8438133874239351,0.8356997971602436,0.019894847602822268,1
1.8304412841796875,0.44905544793366126,0.07945733070373535,0.0460844504079835,100,5,entropy,"{'n_estimators': 100, 'max_depth': 5, 'criterion': 'entropy'}",0.7941176470588235,0.8144016227180527,0.8042596348884381,0.8144016227180527,0.8154158215010142,0.8085192697768763,0.008274271015972081,8
1.7289788722991943,0.36783900289653365,0.04485321044921875,0.011432842619753521,100,3,entropy,"{'n_estimators': 100, 'max_depth': 3, 'criterion': 'entropy'}",0.7677484787018256,0.7768762677484787,0.768762677484787,0.7880324543610547,0.7718052738336714,0.7746450304259636,0.007408512116734134,10
3.3768755435943603,0.9302116966366301,0.08717546463012696,0.017166061180394567,100,,gini,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'gini'}",0.7931034482758621,0.8407707910750507,0.8427991886409736,0.8367139959432048,0.8468559837728195,0.8320486815415821,0.01974538502821573,3
0.2644677639007568,0.09263370071606648,0.016148757934570313,0.0037233331586834636,10,10,gini,"{'n_estimators': 10, 'max_depth': 10, 'criterion': 'gini'}",0.7941176470588235,0.8417849898580122,0.8306288032454361,0.8164300202839757,0.8326572008113591,0.8231237322515212,0.01662296247346686,5
1.4955193996429443,0.3754616045879164,0.03291940689086914,0.004050469230022937,50,10,entropy,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'entropy'}",0.8052738336713996,0.847870182555781,0.8448275862068966,0.8255578093306288,0.8498985801217038,0.8346855983772821,0.017067492063255682,2
0.17314720153808594,0.057987131905000065,0.01291189193725586,0.009455657801934273,10,3,gini,"{'n_estimators': 10, 'max_depth': 3, 'criterion': 'gini'}",0.77079107505071,0.7748478701825557,0.7748478701825557,0.7870182555780934,0.7778904665314401,0.7770791075050709,0.0054578596539852885,9
