mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.23375921249389647,0.07432674183492145,0.02024731636047363,0.014542374174326363,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 10}",0.7677484787018256,0.7728194726166329,0.7768762677484787,0.7829614604462475,0.7697768762677485,0.7740365111561867,0.005420036193057759,24
0.6912614345550537,0.14833775876277616,0.041868972778320315,0.0249168979735476,entropy,3,50,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 50}",0.7657200811359026,0.7758620689655172,0.768762677484787,0.7880324543610547,0.7758620689655172,0.7748478701825559,0.007697227570389561,22
1.3891345024108888,0.31430579585439816,0.04423456192016602,0.012007299674488825,entropy,3,100,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 100}",0.7667342799188641,0.7768762677484787,0.7718052738336714,0.7880324543610547,0.7748478701825557,0.7756592292089249,0.007067444783036236,20
0.199912691116333,0.020889044291324235,0.015395545959472656,0.002718284578898126,entropy,5,10,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}",0.783975659229209,0.8062880324543611,0.7931034482758621,0.8073022312373225,0.8103448275862069,0.8002028397565922,0.010040055716644661,18
0.8087620735168457,0.23093867256446723,0.02767806053161621,0.007136649452238053,entropy,5,50,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 50}",0.795131845841785,0.8093306288032455,0.8194726166328601,0.8164300202839757,0.8073022312373225,0.8095334685598378,0.00847083692406538,17
1.5699694156646729,0.23329055825163253,0.04886445999145508,0.016334339033893027,entropy,5,100,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100}",0.8002028397565923,0.8164300202839757,0.8174442190669371,0.8123732251521298,0.808316430020284,0.8109533468559839,0.006271653076568063,16
0.2758335590362549,0.08419542701619616,0.017264032363891603,0.007100135113683573,entropy,10,10,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 10}",0.7931034482758621,0.8377281947261663,0.8397565922920892,0.8194726166328601,0.8397565922920892,0.8259634888438134,0.018115305121108375,9
1.268187952041626,0.10357158486273368,0.0411170482635498,0.012688687753055317,entropy,10,50,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 50}",0.8032454361054767,0.8427991886409736,0.8417849898580122,0.8235294117647058,0.8448275862068966,0.8312373225152131,0.01595357574217904,4
2.342400074005127,0.4615079097138364,0.04001212120056152,0.008168992940208756,entropy,10,100,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 100}",0.8002028397565923,0.8407707910750507,0.8509127789046653,0.8296146044624746,0.8498985801217038,0.8342799188640975,0.018685494446939583,1
0.24793314933776855,0.045197804566201503,0.011605405807495117,0.004609056591281915,entropy,,10,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 10}",0.7910750507099391,0.8255578093306288,0.8184584178498986,0.8113590263691683,0.8306288032454361,0.8154158215010142,0.013802049360003258,13
1.25173921585083,0.1699789838713853,0.029399585723876954,0.011867961009659294,entropy,,50,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 50}",0.795131845841785,0.8427991886409736,0.8448275862068966,0.8336713995943205,0.8488843813387424,0.8330628803245436,0.019609475113358147,3
2.444752502441406,0.4349293808187908,0.06124224662780762,0.01817708204856568,entropy,,100,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}",0.7941176470588235,0.8417849898580122,0.8407707910750507,0.8174442190669371,0.8468559837728195,0.8281947261663285,0.019838931093417944,7
0.10799264907836914,0.01991850436209109,0.010456466674804687,0.0030293956302560486,gini,3,10,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 10}",0.7738336713995944,0.7728194726166329,0.7728194726166329,0.7971602434077079,0.7657200811359026,0.776470588235294,0.010744764817970796,19
0.6110300064086914,0.12668215913562997,0.022297191619873046,0.0122297264805328,gini,3,50,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 50}",0.7677484787018256,0.7748478701825557,0.7697768762677485,0.7900608519269777,0.77079107505071,0.7746450304259636,0.008047397332607453,23
1.0208092212677002,0.23947759555002263,0.03864550590515137,0.014194500945288801,gini,3,100,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 100}",0.7697768762677485,0.7748478701825557,0.77079107505071,0.7849898580121704,0.7748478701825557,0.775050709939148,0.005381946921469191,21
0.17678980827331542,0.03718105187061058,0.017659091949462892,0.009892955523201111,gini,5,10,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10}",0.7941176470588235,0.8093306288032455,0.8397565922920892,0.8255578093306288,0.8123732251521298,0.8162271805273834,0.015439823313578146,12
0.6458270072937011,0.12364490210490608,0.028632307052612306,0.013507732377875788,gini,5,50,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 50}",0.7971602434077079,0.8174442190669371,0.8133874239350912,0.8133874239350912,0.8255578093306288,0.8133874239350913,0.009250916227984917,14
1.3098894119262696,0.25717762742115596,0.030056858062744142,0.003769120745461816,gini,5,100,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100}",0.7971602434077079,0.821501014198783,0.8133874239350912,0.8154158215010142,0.8093306288032455,0.8113590263691682,0.0081135902636917,15
