mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.15163116455078124,0.03943472861827244,0.017542600631713867,0.01439883645392649,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 10}",0.7667342799188641,0.7718052738336714,0.7677484787018256,0.7849898580121704,0.7697768762677485,0.772210953346856,0.006622648161182337,24
0.757591438293457,0.19976190907821947,0.02793874740600586,0.004524065045013191,entropy,3,50,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 50}",0.7667342799188641,0.7738336713995944,0.768762677484787,0.7880324543610547,0.7738336713995944,0.774239350912779,0.007441759159368807,22
1.2756370067596436,0.30348505542188114,0.04046773910522461,0.008627327166818322,entropy,3,100,"{'criterion': 'entropy', 'max_depth': 3, 'n_estimators': 100}",0.7657200811359026,0.7748478701825557,0.77079107505071,0.7860040567951319,0.7728194726166329,0.7740365111561867,0.006709061017663787,23
0.1815031051635742,0.01749491189590792,0.010667371749877929,0.0031906131528485196,entropy,5,10,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 10}",0.7890466531440162,0.8164300202839757,0.795131845841785,0.8144016227180527,0.8316430020283976,0.8093306288032455,0.015407812588099761,14
0.9016010761260986,0.2197669773724232,0.03680353164672852,0.012985531040561039,entropy,5,50,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 50}",0.7890466531440162,0.8194726166328601,0.808316430020284,0.8093306288032455,0.8052738336713996,0.806288032454361,0.009853921137112483,18
1.5477808475494386,0.36538020278484484,0.04943075180053711,0.0184950893817223,entropy,5,100,"{'criterion': 'entropy', 'max_depth': 5, 'n_estimators': 100}",0.7920892494929006,0.8164300202839757,0.8062880324543611,0.8174442190669371,0.8062880324543611,0.8077079107505071,0.009152546996088019,16
0.2941162586212158,0.07623399099265307,0.015476703643798828,0.004905172690585266,entropy,10,10,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 10}",0.8113590263691683,0.8387423935091278,0.8326572008113591,0.8296146044624746,0.8306288032454361,0.8286004056795132,0.009183960586346279,7
1.2655385494232179,0.3302426308250863,0.035590076446533205,0.00781638403150117,entropy,10,50,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 50}",0.7961460446247465,0.8407707910750507,0.845841784989858,0.8377281947261663,0.8559837728194726,0.8352941176470589,0.020531952766125038,1
2.677844285964966,0.40565596725424086,0.0641852855682373,0.024743746083326055,entropy,10,100,"{'criterion': 'entropy', 'max_depth': 10, 'n_estimators': 100}",0.8052738336713996,0.8438133874239351,0.8498985801217038,0.8296146044624746,0.8468559837728195,0.8350912778904667,0.016448791020457026,2
0.43474650382995605,0.0725759051788881,0.022826004028320312,0.010028468190137602,entropy,,10,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 10}",0.7860040567951319,0.8204868154158215,0.834685598377282,0.8052738336713996,0.8255578093306288,0.8144016227180527,0.017103613779986038,11
1.7027297496795655,0.32814465826974093,0.042267560958862305,0.012766682319748207,entropy,,50,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 50}",0.7920892494929006,0.8367139959432048,0.8468559837728195,0.8245436105476673,0.8427991886409736,0.8286004056795132,0.019749552039980654,7
3.088191270828247,1.0346123472287747,0.06480445861816406,0.01055811406020798,entropy,,100,"{'criterion': 'entropy', 'max_depth': None, 'n_estimators': 100}",0.8062880324543611,0.847870182555781,0.8468559837728195,0.8265720081135902,0.8417849898580122,0.8338742393509128,0.01575635414680604,3
0.11270408630371094,0.01954173904591329,0.013233613967895509,0.006412348304216205,gini,3,10,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 10}",0.7647058823529411,0.7758620689655172,0.7748478701825557,0.7910750507099391,0.7718052738336714,0.7756592292089249,0.008639164072635644,21
0.493029260635376,0.1365584861174337,0.02060694694519043,0.009727775479658798,gini,3,50,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 50}",0.7677484787018256,0.7809330628803245,0.7768762677484787,0.7910750507099391,0.77079107505071,0.7774847870182555,0.008204360412233911,20
1.2141486644744872,0.3546413516412124,0.04723930358886719,0.01885361803558472,gini,3,100,"{'criterion': 'gini', 'max_depth': 3, 'n_estimators': 100}",0.768762677484787,0.7829614604462475,0.77079107505071,0.7920892494929006,0.7748478701825557,0.7778904665314401,0.008605762042838309,19
0.22779650688171388,0.02669861632907461,0.02769293785095215,0.011137912568690655,gini,5,10,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 10}",0.7910750507099391,0.8306288032454361,0.8144016227180527,0.8164300202839757,0.8164300202839757,0.8137931034482758,0.012757959589059962,12
0.8539853096008301,0.2283047095113229,0.034405183792114255,0.009343200470308729,gini,5,50,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 50}",0.7900608519269777,0.8154158215010142,0.8113590263691683,0.8123732251521298,0.8073022312373225,0.8073022312373226,0.009002978101895385,17
1.770035457611084,0.36527429737817096,0.05815882682800293,0.02868178130399942,gini,5,100,"{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100}",0.8002028397565923,0.8113590263691683,0.8052738336713996,0.8144016227180527,0.808316430020284,0.8079107505070995,0.004910230603208985,15
