mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.559345579147339,0.2268641432970638,0.05584139823913574,0.019606550407772712,50,,gini,"{'n_estimators': 50, 'max_depth': None, 'criterion': 'gini'}",0.7920892494929006,0.8387423935091278,0.8316430020283976,0.8235294117647058,0.8417849898580122,0.8255578093306287,0.017879838434920102,4
0.1140359878540039,0.012658501049669238,0.010996437072753907,0.004765007612476948,10,3,entropy,"{'n_estimators': 10, 'max_depth': 3, 'criterion': 'entropy'}",0.7697768762677485,0.7748478701825557,0.7778904665314401,0.7849898580121704,0.7718052738336714,0.7758620689655171,0.005328164517875732,9
0.10496430397033692,0.0033756455716853324,0.011380863189697266,0.0037924047171126914,10,3,gini,"{'n_estimators': 10, 'max_depth': 3, 'criterion': 'gini'}",0.768762677484787,0.7718052738336714,0.7697768762677485,0.7890466531440162,0.7778904665314401,0.7754563894523325,0.007496843250538068,10
1.3694736957550049,0.2955537669745143,0.04073390960693359,0.008765984842138513,50,,entropy,"{'n_estimators': 50, 'max_depth': None, 'criterion': 'entropy'}",0.7900608519269777,0.8407707910750507,0.8336713995943205,0.8255578093306288,0.8438133874239351,0.8267748478701826,0.019407005760429988,3
0.3239267349243164,0.06141417271966981,0.016731071472167968,0.004232182652077687,10,,gini,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'gini'}",0.7789046653144016,0.8123732251521298,0.8225152129817445,0.8093306288032455,0.8275862068965517,0.8101419878296147,0.01696351685765118,6
3.0086198806762696,0.4987144571548802,0.11694293022155762,0.04687871537032932,100,,entropy,"{'n_estimators': 100, 'max_depth': None, 'criterion': 'entropy'}",0.8012170385395537,0.8397565922920892,0.8438133874239351,0.8367139959432048,0.8417849898580122,0.8326572008113591,0.015894148498304048,1
0.19616317749023438,0.027251468713836748,0.02461714744567871,0.010788956114960425,10,5,gini,"{'n_estimators': 10, 'max_depth': 5, 'criterion': 'gini'}",0.8002028397565923,0.8164300202839757,0.8255578093306288,0.8184584178498986,0.8032454361054767,0.8127789046653143,0.009570082038203195,5
0.235673189163208,0.02648747382120168,0.01759023666381836,0.0054026272674198,10,5,entropy,"{'n_estimators': 10, 'max_depth': 5, 'criterion': 'entropy'}",0.8062880324543611,0.8022312373225152,0.8194726166328601,0.8113590263691683,0.7890466531440162,0.8056795131845842,0.010113550395389793,8
2.0088823795318604,0.7244249239273453,0.05514559745788574,0.03146339641132082,100,5,entropy,"{'n_estimators': 100, 'max_depth': 5, 'criterion': 'entropy'}",0.7931034482758621,0.8144016227180527,0.7971602434077079,0.8194726166328601,0.808316430020284,0.8064908722109534,0.010007218161090485,7
2.307506465911865,0.5102806224460166,0.06664080619812011,0.038453502040598005,100,10,gini,"{'n_estimators': 100, 'max_depth': 10, 'criterion': 'gini'}",0.795131845841785,0.8468559837728195,0.8427991886409736,0.8225152129817445,0.8498985801217038,0.8314401622718053,0.020519925847530172,2
