mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.7319265365600587,0.23446716438467108,0.04964461326599121,0.014655450163993208,100,5,entropy,"{'n_estimators': 100, 'max_depth': 5, 'criterion': 'entropy'}",0.7941176470588235,0.8184584178498986,0.8184584178498986,0.8133874239350912,0.8062880324543611,0.8101419878296147,0.009170510795502905,7
1.5224730014801025,0.4172328754172417,0.04265608787536621,0.012732589916551114,50,,entropy,"{'n_estimators': 50, 'max_depth': None, 'criterion': 'entropy'}",0.7941176470588235,0.8438133874239351,0.845841784989858,0.8245436105476673,0.8549695740365112,0.8326572008113591,0.0216668562973251,2
0.22417383193969725,0.06094743259854848,0.016184377670288085,0.010489107365946257,10,,gini,"{'n_estimators': 10, 'max_depth': None, 'criterion': 'gini'}",0.8042596348884381,0.8225152129817445,0.8286004056795132,0.8154158215010142,0.8245436105476673,0.8190669371196755,0.008548197771077291,5
1.1233861446380615,0.3203931573342345,0.03232865333557129,0.011441350533473187,50,10,entropy,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'entropy'}",0.8002028397565923,0.8417849898580122,0.8427991886409736,0.834685598377282,0.8509127789046653,0.8340770791075052,0.01770176408054475,1
0.6828680515289307,0.24086148268003252,0.021684932708740234,0.00545686976359743,50,3,entropy,"{'n_estimators': 50, 'max_depth': 3, 'criterion': 'entropy'}",0.7657200811359026,0.7748478701825557,0.7718052738336714,0.783975659229209,0.7728194726166329,0.7738336713995944,0.0059137443152589494,9
1.4640711307525636,0.4630386443557792,0.04064011573791504,0.012794773430415352,100,5,gini,"{'n_estimators': 100, 'max_depth': 5, 'criterion': 'gini'}",0.8012170385395537,0.8235294117647058,0.8225152129817445,0.8164300202839757,0.8133874239350912,0.8154158215010142,0.008037165418320072,6
1.1231382846832276,0.22803487910679285,0.028117990493774413,0.003301385780820548,50,,gini,"{'n_estimators': 50, 'max_depth': None, 'criterion': 'gini'}",0.7931034482758621,0.8488843813387424,0.8377281947261663,0.8194726166328601,0.8427991886409736,0.828397565922921,0.020196566227820074,4
0.15923280715942384,0.03841738985970176,0.01094365119934082,0.0047930866935638255,10,5,entropy,"{'n_estimators': 10, 'max_depth': 5, 'criterion': 'entropy'}",0.7880324543610547,0.8103448275862069,0.8164300202839757,0.8144016227180527,0.7920892494929006,0.8042596348884382,0.011827488630517862,8
0.14647631645202636,0.017345435368061685,0.010786628723144532,0.0023484528805918768,10,3,entropy,"{'n_estimators': 10, 'max_depth': 3, 'criterion': 'entropy'}",0.7647058823529411,0.7778904665314401,0.7718052738336714,0.7880324543610547,0.7586206896551724,0.772210953346856,0.010234868812610846,10
0.8675148963928223,0.16103728591487107,0.021784114837646484,0.006613919511222039,50,10,gini,"{'n_estimators': 50, 'max_depth': 10, 'criterion': 'gini'}",0.7890466531440162,0.8509127789046653,0.8448275862068966,0.8286004056795132,0.847870182555781,0.8322515212981745,0.022936145277718707,3
